ID,BorBetter_79,ENVIRONMENTAL.STRUCTURE.....1..._count,ENVIRONMENTAL.STRUCTURE.....2..._count,ENVIRONMENTAL.STRUCTURE.....3..._count,ENVIRONMENTAL.STRUCTURE.....4..._count,ENVIRONMENTAL.STRUCTURE..._count,LECTURE.NOTES.COMPLETE.....1..._count,LECTURE.NOTES.COMPLETE.....2..._count,LECTURE.NOTES.COMPLETE.....3..._count,LECTURE.NOTES.COMPLETE.....4..._count,LECTURE.NOTES.COMPLETE..._count,MONITORING.LEARNING...SELF.ASSESSMENT.....1..._count,MONITORING.LEARNING...SELF.ASSESSMENT.....2..._count,MONITORING.LEARNING...SELF.ASSESSMENT.....3..._count,MONITORING.LEARNING...SELF.ASSESSMENT.....4..._count,MONITORING.LEARNING...SELF.ASSESSMENT..._count,MONITORING.PERFORMANCE.....1..._count,MONITORING.PERFORMANCE.....2..._count,MONITORING.PERFORMANCE.....3..._count,MONITORING.PERFORMANCE.....4..._count,MONITORING.PERFORMANCE..._count,MONITORING.PROCESS.....1..._count,MONITORING.PROCESS.....2..._count,MONITORING.PROCESS.....3..._count,MONITORING.PROCESS.....4..._count,MONITORING.PROCESS..._count,MONITORING.PROGRESS.....1..._count,MONITORING.PROGRESS.....2..._count,MONITORING.PROGRESS.....3..._count,MONITORING.PROGRESS.....4..._count,MONITORING.PROGRESS..._count,PEER.DISCUSSION.....1..._count,PEER.DISCUSSION.....2..._count,PEER.DISCUSSION.....3..._count,PEER.DISCUSSION.....4..._count,PEER.DISCUSSION..._count,PLANNING.....1..._count,PLANNING.....2..._count,PLANNING.....3..._count,PLANNING.....4..._count,PLANNING..._count,POLICY.....1..._count,POLICY.....2..._count,POLICY.....3..._count,POLICY.....4..._count,POLICY..._count
359,1,1,0,2,0,3,19,2,0,0,21,31,39,21,0,91,1,1,7,2,11,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,23,20,1,2,46,0,0,0,0,0
360,0,0,1,0,0,1,2,4,4,9,19,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,11,0,0,0,0,0
361,0,0,0,0,0,0,6,8,0,6,20,0,50,5,0,55,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,7,0,0,0,0,0
362,0,0,0,0,0,0,10,2,0,0,12,3,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,10,23,0,0,0,0,0
363,1,0,0,0,0,0,13,6,6,0,25,12,16,17,0,45,0,0,1,2,3,3,0,0,0,3,0,0,8,0,8,0,0,1,7,8,12,0,4,0,16,0,0,0,0,0
364,0,1,0,0,0,1,6,3,2,3,14,0,32,31,6,69,0,2,2,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,15,6,28,0,49,0,0,0,0,0
365,1,0,0,0,0,0,10,6,18,5,39,0,0,0,27,27,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,12,0,0,0,0,0
366,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,15,0,0,0,0,0
367,0,0,0,0,0,0,17,6,3,10,36,0,7,0,0,7,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,7,0,0,0,0,0
368,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,8,0,0,0,0,0
369,0,0,0,0,0,0,4,7,4,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,2,6,0,0,0,0,0
370,0,0,0,0,0,0,3,16,2,0,21,3,15,20,60,98,0,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,4,1,27,0,0,0,0,0
371,1,0,0,0,0,0,0,0,0,8,8,0,22,109,68,199,1,7,3,2,13,0,0,0,0,0,0,0,0,0,0,9,5,2,0,16,3,18,3,10,34,0,0,0,0,0
372,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,8,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,11,2,10,28,0,0,0,0,0
373,1,0,0,0,0,0,2,8,5,2,17,0,10,0,0,10,0,1,0,0,1,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,4,2,0,0,6,0,0,0,0,0
374,0,0,0,0,0,0,10,2,2,4,18,2,2,0,7,11,0,0,0,3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,16,6,2,0,24,0,0,0,0,0
375,0,0,0,0,0,0,0,15,0,3,18,0,4,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0
376,1,1,0,0,0,1,18,0,0,0,18,0,20,0,9,29,0,1,0,1,2,3,0,0,0,3,18,5,0,0,23,1,0,0,3,4,32,3,0,1,36,0,0,0,0,0
377,1,0,0,0,0,0,6,0,4,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,12,0,0,0,12,4,0,1,0,5
378,1,0,0,0,0,0,0,11,0,0,11,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,0,0,17,0,0,0,0,0
